# CSR for edge label: IS_LOCATED_IN
0: 383 815 973 187 
1: 749 798 613 611 
2: 159 456 159 102 
3: 59 470 886 341 
4: 615 146 725 666 
5: 21 57 993 739 
6: 852 961 217 0 
7: 186 1016 187 632 
8: 311 626 537 7 
9: 442 23 298 537 
10: 626 409 142 47 
11: 299 997 375 238 
12: 467 92 804 633 
13: 204 391 526 1006 
14: 606 477 47 880 
15: 622 696 174 461 
16: 66 13 971 964 
17: 988 576 827 394 
18: 311 16 100 236 
19: 700 246 450 699 
20: 124 624 507 853 
21: 35 177 931 400 
22: 264 186 678 773 
23: 319 435 532 212 
24: 559 581 189 32 
25: 992 862 793 460 
26: 962 404 916 948 
27: 612 744 943 334 
28: 90 584 200 533 
29: 46 984 333 864 
30: 398 765 277 552 
31: 848 600 365 988 
32: 287 621 555 282 
33: 144 303 821 169 
34: 76 16 1010 433 
35: 790 404 203 300 
36: 5 14 835 203 
37: 723 728 746 809 
38: 789 620 75 948 
39: 367 666 118 936 
40: 883 870 638 460 
41: 338 97 65 379 
42: 318 684 332 681 
43: 747 605 652 281 
44: 908 574 483 392 
45: 122 995 730 869 
46: 779 739 574 241 
47: 789 262 505 41 
48: 535 727 437 113 
49: 26 449 110 206 
50: 32 917 651 486 
51: 321 576 520 712 
52: 929 142 255 618 
53: 420 552 773 207 
54: 234 965 78 613 
55: 296 711 165 901 
56: 952 639 827 302 
57: 648 108 892 467 
58: 822 223 191 426 
59: 913 904 552 332 
60: 826 125 917 364 
61: 325 928 112 278 
62: 233 663 437 0 
63: 837 361 881 312 
64: 7 168 523 546 
65: 427 496 227 709 
66: 122 275 345 249 
67: 965 172 330 224 
68: 531 571 719 413 
69: 372 66 995 260 
70: 985 252 257 713 
71: 509 729 308 151 
72: 291 1021 37 273 
73: 624 1000 514 420 
74: 52 33 285 353 
75: 930 649 245 697 
76: 148 543 501 458 
77: 1009 566 247 606 
78: 688 82 779 378 
79: 243 247 745 822 
80: 376 481 647 1007 
81: 648 408 548 836 
82: 92 817 855 154 
83: 328 520 190 712 
84: 41 878 605 333 
85: 693 225 16 728 
86: 524 828 231 357 
87: 660 98 178 963 
88: 707 407 396 530 
89: 959 857 140 691 
90: 349 752 116 214 
91: 946 554 898 712 
92: 264 234 675 179 
93: 836 1005 568 529 
94: 542 267 247 1020 
95: 95 988 918 571 
96: 922 903 648 193 
97: 347 285 357 717 
98: 743 866 918 876 
99: 908 414 798 909 
100: 657 871 86 958 
101: 165 804 920 685 
102: 620 594 9 381 
103: 103 962 679 997 
104: 5 290 164 312 
105: 561 497 708 459 
106: 667 1018 229 180 
107: 729 18 242 505 
108: 333 183 764 375 
109: 665 762 869 738 
110: 673 315 581 555 
111: 95 521 376 651 
112: 271 256 249 604 
113: 996 1002 402 498 
114: 913 927 646 444 
115: 813 358 514 660 
116: 590 684 504 884 
117: 199 235 739 511 
118: 287 585 24 786 
119: 660 44 181 1018 
120: 963 481 976 286 
121: 936 904 379 765 
122: 15 975 950 338 
123: 438 566 989 586 
124: 986 1003 873 77 
125: 301 313 394 195 
126: 871 274 324 496 
127: 173 381 570 404 
128: 958 864 712 952 
129: 583 72 99 213 
130: 629 687 1013 367 
131: 143 260 530 302 
132: 898 330 758 869 
133: 713 139 719 725 
134: 368 566 300 303 
135: 828 429 829 262 
136: 887 626 935 83 
137: 523 5 513 642 
138: 817 198 665 72 
139: 718 406 814 51 
140: 911 907 346 28 
141: 384 592 96 448 
142: 592 688 36 336 
143: 476 158 555 1005 
144: 293 859 605 881 
145: 31 256 38 39 
146: 842 310 368 549 
147: 130 334 534 847 
148: 788 278 221 988 
149: 637 468 87 862 
150: 52 199 544 421 
151: 553 716 652 141 
152: 743 135 999 992 
153: 528 731 330 42 
154: 814 408 277 443 
155: 449 761 80 256 
156: 25 188 985 82 
157: 856 438 712 705 
158: 418 59 177 937 
159: 160 452 256 245 
160: 562 96 731 187 
161: 676 957 286 653 
162: 977 529 755 672 
163: 567 446 626 747 
164: 429 48 253 579 
165: 364 162 776 123 
166: 14 350 118 94 
167: 47 96 41 318 
168: 875 1003 720 179 
169: 485 17 100 781 
170: 503 826 484 354 
171: 177 475 444 665 
172: 408 49 630 971 
173: 650 907 46 267 
174: 383 15 640 955 
175: 515 513 877 552 
176: 674 700 166 630 
177: 72 966 657 966 
178: 27 888 599 651 
179: 962 820 589 693 
180: 397 587 658 131 
181: 469 830 558 840 
182: 964 640 395 840 
183: 984 667 927 211 
184: 200 280 71 219 
185: 103 386 18 39 
186: 96 633 699 344 
187: 72 671 326 394 
188: 865 697 23 348 
189: 834 266 288 507 
190: 121 709 713 356 
191: 644 959 898 40 
192: 752 427 822 990 
193: 288 561 181 433 
194: 768 582 826 589 
195: 1014 749 422 130 
196: 380 256 795 594 
197: 348 887 953 575 
198: 879 244 439 696 
199: 768 757 772 243 
200: 105 386 924 547 
201: 517 508 846 398 
202: 327 304 917 102 
203: 398 54 11 981 
204: 927 867 93 363 
205: 326 979 972 693 
206: 973 494 587 504 
207: 647 85 459 93 
208: 300 616 336 566 
209: 688 217 770 968 
210: 810 800 808 116 
211: 93 953 506 997 
212: 58 1019 562 57 
213: 452 754 909 559 
214: 359 722 119 991 
215: 146 704 779 857 
216: 633 887 103 858 
217: 86 436 717 227 
218: 74 406 841 913 
219: 723 150 83 525 
220: 86 238 1010 595 
221: 383 883 379 901 
222: 832 242 969 929 
223: 1009 606 771 358 
224: 385 725 85 493 
225: 795 387 571 722 
226: 434 254 928 338 
227: 113 444 504 259 
228: 11 414 479 585 
229: 57 758 121 785 
230: 120 842 664 762 
231: 763 697 597 243 
232: 985 409 383 489 
233: 292 84 889 541 
234: 228 446 986 821 
235: 12 1001 993 569 
236: 44 330 912 44 
237: 540 946 1016 941 
238: 75 259 567 712 
239: 992 77 535 170 
240: 644 222 712 301 
241: 465 1019 642 713 
242: 598 393 922 754 
243: 46 937 287 981 
244: 973 59 911 403 
245: 466 109 635 343 
246: 284 173 192 662 
247: 474 397 361 234 
248: 597 272 79 368 
249: 997 266 1009 464 
250: 714 33 548 286 
251: 316 421 833 617 
252: 701 277 166 136 
253: 932 78 842 963 
254: 972 426 743 595 
255: 628 941 428 84 
256: 955 897 886 564 
257: 46 168 26 421 
258: 385 796 830 491 
259: 1010 1008 154 385 
260: 608 767 390 402 
261: 993 849 862 582 
262: 858 65 479 37 
263: 424 137 279 14 
264: 57 77 885 708 
265: 832 547 1023 767 
266: 1020 935 568 599 
267: 787 743 967 775 
268: 870 386 253 246 
269: 461 209 132 257 
270: 976 281 620 212 
271: 234 899 687 775 
272: 632 48 366 275 
273: 116 22 687 510 
274: 532 487 790 851 
275: 532 315 872 835 
276: 565 991 574 90 
277: 897 810 413 604 
278: 137 491 29 430 
279: 773 803 635 654 
280: 720 824 218 924 
281: 139 632 14 1003 
282: 359 622 604 651 
283: 401 568 447 93 
284: 925 743 356 560 
285: 526 461 802 932 
286: 406 305 637 536 
287: 883 714 972 815 
288: 150 470 948 862 
289: 503 787 264 67 
290: 470 46 1003 635 
291: 504 355 336 214 
292: 648 593 245 349 
293: 77 550 131 471 
294: 131 598 155 409 
295: 142 714 656 184 
296: 186 713 353 421 
297: 918 895 485 527 
298: 683 996 176 616 
299: 196 229 41 841 
300: 172 353 285 355 
301: 181 32 90 561 
302: 123 547 471 364 
303: 211 915 373 131 
304: 515 338 706 329 
305: 40 94 818 492 
306: 642 704 83 523 
307: 894 160 942 386 
308: 62 2 283 889 
309: 825 86 766 611 
310: 188 1009 214 549 
311: 379 946 496 241 
312: 633 778 377 544 
313: 473 737 765 63 
314: 37 151 258 136 
315: 730 703 916 864 
316: 523 767 544 31 
317: 109 888 458 362 
318: 545 406 248 107 
319: 275 755 386 186 
320: 20 577 329 860 
321: 216 91 335 548 
322: 122 238 911 351 
323: 607 485 695 363 
324: 808 664 510 491 
325: 89 598 549 754 
326: 600 571 763 600 
327: 442 578 130 387 
328: 290 345 371 921 
329: 661 622 584 250 
330: 364 510 1010 338 
331: 620 956 242 7 
332: 104 230 156 374 
333: 251 499 164 871 
334: 191 89 291 825 
335: 177 56 918 862 
336: 82 52 537 18 
337: 420 713 1005 1021 
338: 114 918 407 589 
339: 992 939 886 5 
340: 836 998 264 502 
341: 174 740 684 840 
342: 951 735 570 547 
343: 585 488 286 858 
344: 787 209 191 991 
345: 331 728 435 204 
346: 519 753 248 542 
347: 117 724 625 786 
348: 295 89 595 518 
349: 158 954 492 328 
350: 545 608 53 378 
351: 344 465 137 561 
352: 64 562 1013 206 
353: 330 701 829 89 
354: 260 142 697 2 
355: 778 119 609 484 
356: 482 620 421 813 
357: 357 109 951 871 
358: 850 763 988 418 
359: 127 955 748 1014 
360: 960 209 185 388 
361: 68 948 758 738 
362: 588 49 862 800 
363: 143 847 814 768 
364: 206 818 167 844 
365: 168 190 834 241 
366: 681 648 535 929 
367: 367 323 898 602 
368: 401 699 836 462 
369: 449 730 385 921 
370: 473 639 308 552 
371: 765 449 514 591 
372: 237 363 921 400 
373: 393 544 556 68 
374: 928 234 639 555 
375: 119 441 962 340 
376: 642 748 342 710 
377: 142 170 813 899 
378: 634 507 546 759 
379: 915 586 807 1021 
380: 155 770 319 723 
